CourseId,FacilityId,CourseName,City,State,Ranking
7a7ab643-134c-4efe-b086-b780549d6b65,604FBEC0-37E1-40EC-9AAD-418C50E53354,Fairfield Glade (Heatherhurst Brae),Fairfield Glade,TN,5
,,Lajitas Golf Resort (Black Jack's Crossing),Lajitas,TX,1
b9f64149-70d1-4343-848f-72bc69bc2ff4,2bbe4135-5852-4d49-9893-0dbfdd7f2539,Omni PGA Frisco Resort (Fields Ranch East),Frisco,TX,2
566bf60e-d7da-43f1-a425-351bf58a82cb,8BE8116A-4743-4780-9078-ABCE8BDE9ACB,Omni Barton Creek (Fazio Canyons),Austin,TX,3
51a399a0-742c-4332-bbaf-22eab1933533,1B84FB4E-7AF0-45E7-97AE-0334FFDE33A4,The Rawls Course at Texas Tech,Lubbock,TX,4
e68ba934-69ae-4cd1-b93c-23dbcaf98c27,2bbe4135-5852-4d49-9893-0dbfdd7f2539,Omni PGA Frisco Resort (Fields Ranch West),Frisco,TX,5
d99ecbe0-424e-4055-ba69-1d59bc980110,2744F2D3-5A58-4D74-8644-C481464CA79D,TPC San Antonio (Oaks),San Antonio,TX,6
fb58cf33-78aa-462a-ab3f-1597c99e73da,2FE4BD90-E22C-473A-A422-A748B0D2EF6B,Pine Dunes Resort & Golf Club,Frankston,TX,7
84a6cd9b-0cc2-4737-9a7d-0e432dd58acd,A1448480-3A73-46E2-9123-2346F9D653EF,Memorial Park,Houston,TX,8
6fd4c4a3-844f-44d0-999e-d0327067fc02,2744F2D3-5A58-4D74-8644-C481464CA79D,TPC San Antonio (Canyons),San Antonio,TX,9
814587f3-a03c-47b6-82b9-d3e5624c5658,8BE8116A-4743-4780-9078-ABCE8BDE9ACB,Omni Barton Creek (Fazio Foothills),Austin,TX,10
f26728fc-dd9c-4696-bdf0-f4eef507028b,546F0F5A-BB19-425E-9EB0-4F7DFF7752F4,Golf Club of Houston (Tournament),Humble,TX,11
27664ddc-0a1e-4e98-ad7f-34f5ffa78916,B7FC6A6B-3506-4879-AD83-65BBACD7B0C9,La Cantera Resort & Spa,San Antonio,TX,12
b9c46614-d5e0-45ff-98d6-94c033bf55a7,46F6BF95-2FE2-4C8E-BC29-272051661AB5,Cowboys,Grapevine,TX,13
3c4214c2-6892-4714-8edb-5321957d416b,F5AC1996-F316-4C38-B8AC-E85F27FDB9EB,The Ritz-Carlton Dallas Las Colinas (TPC Las Colinas),Irving,TX,14
bf7ad764-66e8-4ec7-8810-f0e17948d357,545423B1-BDF4-4B89-83D7-735F6760AE00,Old American,The Colony,TX,15
a31253e9-83b0-4df3-86ca-95f3003fd42e,8BE8116A-4743-4780-9078-ABCE8BDE9ACB,Omni Barton Creek (Crenshaw Coore Cliffside),Austin,TX,16
23d34602-4e14-4386-91a9-c58720be8c54,410BE951-C4C3-4C5F-A5A2-3F12B4FE5A34,The Tribute,The Colony,TX,17
aa8a450b-78ec-4524-92b3-101f2cd7dee1,FC2816EF-882F-4632-8067-798D61414952,Texas Rangers Golf Club,Arlington,TX,18
7e144b00-b12e-42f0-96e9-f1acb3159572,65148A56-80E4-4232-A094-F553FCAC526C,Horseshoe Bay Country Club (Slick Rock),Horseshoe Bay,TX,18
7b72b2aa-2a69-4d7b-b0cf-f69a263fac1b,A2769D16-FFA6-4C88-9541-3F6ACD260D97,Texas Star,Euless,TX,20
7212d3f4-0cc4-4357-bd44-1fb59393ff0a,0dc44017-fbb7-452a-bc67-9906bc6215d2,Black Desert Resort,Ivins,UT,1
97484490-d872-4b8d-84bf-c4b64136f253,FDE7297E-B007-4026-92D5-85C2B7D82CC8,Sand Hollow (Championship),Hurricane,UT,2
1f244608-ca9e-46c8-abd0-c322d0e85d78,F0267149-831A-4CB3-8C2D-AB3110A46826,Hideout,Monticello,UT,3
741cd741-8d01-4a8f-953e-92eb8aa515e4,7D987BF3-14D8-4764-9E94-72DFE169B2E6,Soldier Hollow (Gold),Midway,UT,4
8c9b4997-1fe9-40eb-a515-09db793e1eb2,A7EF76F4-BF75-486B-A391-D3BD7C936195,Copper Rock,Hurricane,UT,5
2f3a7291-a72f-47c5-9953-3c8903194f4a,7D987BF3-14D8-4764-9E94-72DFE169B2E6,Soldier Hollow (Silver),Midway,UT,6
e0a482f0-5247-4c57-9b21-1b3221e1f599,F8C0F452-CF3C-449E-92DF-67349E27EE54,Sunbrook (Pointe Woodbridge),St. George,UT,7
0b1cb2e3-3c77-4e29-8f0a-e70703ed6b40,B543A506-0339-4A44-8DE5-3263347938D3,Thanksgiving Point,Lehi,UT,8
beeaf5e6-1cfc-44a3-8f34-a6dfd4230ef5,F082A33F-4BA7-4C08-90FD-22D78D3F122A,Green Spring,Washington,UT,9
60b6add5-72c0-4175-8e58-1e1e57ea05e0,35952525-4F1B-43B2-B9CE-80ED2C35D7E0,The Ledges of St. George,St. George,UT,10
469a0eb4-0e4d-4aa6-ba3d-34a5ed3e3e77,5646DCD7-9FA1-4726-B38B-12B662E296CC,Stowe Country Club,Stowe,VT,1
1392ca84-0f1a-487b-9ada-141ffd7b93b4,07F6DAE1-5263-4E82-9A7A-E129783643B6,Fox Run,Ludlow,VT,2
3a688e81-b5c5-45f7-93ae-6df1a318525b,865DE976-C584-4507-A173-07DB0842F961,Golf Club at Equinox,Manchester Village,VT,3
9f6d823e-9e35-45ea-8b92-9f87352b086f,3CF5D7F4-F25B-4743-A08D-AA9B99BFDED7,Green Mountain National,Killington,VT,4
d8501699-76a0-49b2-a393-1162db774839,993A72DF-0A81-4278-AD0C-FC9B454A6C4A,Woodstock Inn & Resort,Woodstock,VT,5
f3d7c169-77a5-4942-abdd-af43984ad45c,3382BD5A-94DB-409B-A3F3-DD92A24BAFF1,Omni Homestead Resort (Cascades),Hot Springs,VA,1
4f09e09a-85f8-4924-99f7-351e2b30dcd0,7D07F819-D555-4759-9DF1-88401E2C5D34,Primland (Highland),Meadows of Dan,VA,2
acbddb95-924e-4771-88b7-bfb09953f1c4,CC84C9FD-4A9B-4F74-B02B-0B10B4FDBCAE,Golden Horseshoe (Gold),Williamsburg,VA,3
8532a8d9-b8c0-45e3-9f6d-2005bfb83e27,8F2D1F78-E075-47B1-A706-267D4D442575,Keswick Hall (Full Cry),Keswick,VA,4
d63b32ad-1a02-40ff-bc4a-e750fe24b9a3,D2149239-7D78-4076-B9EA-0A8CD53BD77C,Pete Dye River Course of Virginia Tech,Radford,VA,5
cfe53e25-e2c9-4a53-b7b7-253ba1e842fb,5629525F-7AA5-423F-AA46-7D527741671D,Boar's Head Resort (Birdwood),Charlottesville,VA,6
5d052e0e-deb9-4d3b-a500-12398aa4d42b,0F9A01BE-D0CA-4BFA-BB45-BBD0546F95C2,Kingsmill Resort (River),Williamsburg,VA,7
71189c23-1f3e-4007-b2ac-cf0c35f77a6f,DFC30B10-0863-4B4B-B3F8-22786DACCAB3,Royal New Kent,Providence Forge,VA,8
406b23aa-2dd8-43ce-bf71-813f6c58e1f5,36BC8DDC-958C-4995-9CE5-B8B60C151494,The Club at Viniterra,New Kent,VA,9
b5899b95-807f-4e63-875e-907818cbfebe,3382BD5A-94DB-409B-A3F3-DD92A24BAFF1,Omni Homestead Resort (Old),Hot Springs,VA,9
1487e1e1-a5c5-442e-8744-cc3412835004,6B2E1449-B2F7-49AB-9B00-0EE1371F9BF9,Potomac Shores Golf Club,Potomac Shores,VA,11
cea1a2e9-6480-49f0-a644-b88a585f9dde,301FB4DB-355D-4FF4-9B58-32BDE178BFDF,Laurel Hill,Lorton,VA,12
f0394619-6ac0-40f0-8555-603bc28ada56,CC84C9FD-4A9B-4F74-B02B-0B10B4FDBCAE,Golden Horseshoe (Green),Williamsburg,VA,13
890fe224-e9d9-4e34-a8bb-64eda10372e9,12A7BF73-367A-4D7C-A288-498E99871504,Stonehouse,Toano,VA,14
255a7f74-101a-4716-9097-1cde1823743d,0D09E477-D74E-414D-A574-FE6B906A35C9,Lansdowne Resort (Robert Trent Jones Jr.),Leesburg,VA,15
52cc683f-579f-48c2-94b7-5e6acd416e0f,88554716-8422-43CA-BAEC-7AF8DAA3EC26,Chambers Bay,University Place,WA,1
973a086e-82c6-4054-aee9-59e9b6073200,61556E57-17E5-4C36-BB22-031CBBD60A13,Gamble Sands,Brewster,WA,2
0d28aee2-031d-4dbc-a3f7-3a264a3c2c76,FD7B5673-5BC9-47E2-A849-E92CE47B5867,Wine Valley,Walla Walla,WA,3
3b7ee2ea-6fec-43f0-832f-f46e68e730d3,5419E406-033D-40B1-A5B7-F3E2C7CC3A5B,Gold Mountain (Olympic),Bremerton,WA,4
dcee7e0a-0334-4308-ade4-a32ea2c55df3,7992B09B-6069-468E-A5D2-4647FA2B7C52,Palouse Ridge,Pullman,WA,5
c05280fe-6922-4e38-a3bc-5a23e6e12140,9F4B821A-56D7-4B06-8BD9-23ED52733396,Indian Canyon,Spokane,WA,6
960d2b4a-ba97-4d25-9095-60917974052f,2673F64A-B979-4B75-9ED5-07F261FD8521,Salish Cliffs,Shelton,WA,7
